"""psraid"" ""sample"" ""segment"" ""int_date"" ""lang"" ""stz"" ""scregion"" ""sstate"" ""susr"" ""sstratum"" ""form"" ""qs1"" ""qs2a"" ""qs2b"" ""qs3"" ""q1"" ""q2a"" ""q2b"" ""q2c"" ""q4a"" ""q4b"" ""q4c"" ""q4df1"" ""q4ef2"" ""q5f1"" ""q5af1"" ""q6f2"" ""q6af2"" ""hisp"" ""race3m1"" ""race3m2"" ""race3m3"" ""race3m4"" ""q7"" ""q8"" ""q8a"" ""q10a"" ""q10b"" ""q10c"" ""q10d"" ""snsint2"" ""q13a"" ""q13b"" ""q15a"" ""q15b"" ""q16"" ""q18"" ""q19af1"" ""q19bf1"" ""q19cf1"" ""q19df1"" ""q19ef1"" ""q19ff1"" ""q19af2"" ""q19bf2"" ""q19cf2"" ""q19df2"" ""q19ef2"" ""q19ff2"" ""q20a"" ""q20b"" ""q20c"" ""q20d"" ""q20e"" ""q21a"" ""q21b"" ""q21c"" ""q22"" ""q23"" ""q24a"" ""q24bf1"" ""q24cf2"" ""q24d"" ""q24ef1"" ""q24ff2"" ""q27"" ""q30a"" ""q30b"" ""q30c"" ""q33"" ""q34"" ""q35"" ""q36"" ""q42"" ""q43a"" ""q43b"" ""q43c"" ""q43d"" ""sex"" ""age"" ""marital"" ""lwp"" ""educ2"" ""schl"" ""q100"" ""qe3"" ""birth_hisp"" ""q101"" ""relig"" ""chr"" ""born"" ""attend"" ""q102"" ""income"" ""reg"" ""party"" ""partyln"" ""ideo"" ""hh1"" ""hh3"" ""ql1"" ""ql1a"" ""qc1"" ""racethn"" ""raceos"" ""religos"" ""racecmb"" ""usr"" ""cregion"" ""state"" ""density"" ""child"" ""partysum"" ""partyideo"" ""gen5"" ""racethn2"" ""recage"" ""recage2"" ""receduc"" ""adults"" ""iphoneuse"" ""hphoneuse"" ""ll"" ""cp"" ""weight"""
"""3053"" 208656 2 2 50216 1 ""E"" 3 12 """" 10 1 2 NA NA NA 2 2 2 2 3 2 2 3 NA 2 3 NA NA 2 1 NA NA NA NA 1 2 2 2 2 3 1 3 4 2 2 2 1 3 3 3 1 1 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 1 2 2 1 NA 1 1 NA 4 NA NA NA 3 NA NA NA 1 2 2 2 2 2 50 1 NA 6 5 NA 2 NA 2 2 NA 2 5 NA 7 1 1 NA 4 5 5 NA NA 2 1 """" """" 1 ""S"" 3 12 4 0 1 2 4 1 4 3 3 3 3 3 0 1 0.361557822000632"
"""3054"" 208659 2 2 50516 1 ""E"" 3 13 """" 9 1 2 NA NA NA 2 1 1 1 1 3 1 3 NA 2 2 NA NA 2 1 NA NA NA NA 2 1 1 2 2 2 1 4 4 3 3 1 2 3 3 9 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 2 2 2 NA 1 1 NA 2 NA NA NA 2 3 3 3 2 2 2 2 2 2 46 1 NA 6 5 NA 2 NA 3 1 NA 2 4 NA 7 1 3 1 2 4 2 NA NA 1 1 """" """" 1 ""S"" 3 13 4 2 1 3 4 1 4 2 3 2 2 2 1 1 0.312672840654277"
"""3055"" 208663 2 2 50216 1 ""E"" 3 13 """" 9 2 2 NA NA NA 1 1 1 1 2 2 2 NA 4 NA NA 1 NA 1 1 NA NA NA NA 2 1 2 2 3 1 1 3 4 3 3 1 2 NA NA NA NA NA NA 3 3 3 1 1 3 2 2 2 2 2 NA NA NA 2 4 2 NA 3 3 NA 1 4 NA NA NA 1 3 3 4 2 2 2 2 2 1 45 1 NA 6 5 NA 1 1 3 2 NA 2 4 NA 9 1 1 NA 2 6 2 NA NA 2 3 """" """" 1 ""S"" 3 13 3 4 1 1 4 3 4 2 3 2 3 3 0 1 0.596914428309818"
"""3056"" 208664 2 2 50216 2 ""E"" 1 36 """" 10 2 2 NA NA NA 1 1 1 1 9 2 2 NA 4 NA NA 2 1 1 2 NA NA NA NA 4 NA 2 1 4 1 1 4 4 2 3 1 3 NA NA NA NA NA NA 3 9 3 3 3 3 2 2 2 2 2 NA NA NA 2 1 1 NA 1 1 NA 1 4 NA NA NA 3 NA NA NA 2 2 2 2 1 1 42 6 NA 1 5 NA 1 3 3 2 NA 2 4 NA 1 3 4 9 1 7 4 NA NA 1 3 """" """" 2 ""U"" 1 36 5 3 9 9 4 4 3 2 1 3 2 2 1 1 0.506685989978348"
"""3057"" 208665 2 2 50216 1 ""E"" 1 42 """" 10 2 2 NA NA NA 2 4 1 2 1 4 3 NA 3 NA NA 2 1 2 2 NA NA NA 3 1 1 9 4 4 9 2 NA NA 3 1 1 2 NA NA NA NA NA NA 1 3 1 1 1 1 2 2 2 2 1 2 2 1 1 3 1 NA 2 1 NA 2 2 3 2 3 1 2 2 2 2 2 2 2 2 2 25 6 NA 5 3 2 1 NA 5 12 NA NA 4 1 5 1 2 NA 3 1 NA NA NA 2 2 """" """" 2 ""U"" 3 37 4 0 2 4 5 2 2 1 2 1 3 3 0 1 0.389228366310826"
"""3058"" 208677 2 2 50216 1 ""C"" 3 22 """" 6 2 2 NA NA NA 1 2 1 2 1 2 1 NA 2 NA NA 2 1 2 2 NA NA NA 1 1 2 1 2 1 1 1 1 2 3 2 2 2 NA NA NA NA NA NA 1 1 1 1 1 1 2 2 1 2 2 2 2 2 1 1 1 NA 1 3 NA 1 2 2 2 9 1 1 1 2 1 2 1 2 2 1 30 1 NA 5 5 2 1 NA 4 12 NA NA 4 1 7 1 3 9 4 2 2 NA NA 2 2 """" """" 2 ""U"" 4 8 2 0 9 3 5 2 2 2 2 2 3 3 0 1 1.00466233372815"
"""3059"" 208678 2 2 50216 1 ""C"" 2 17 """" 9 1 2 NA NA NA 2 2 1 2 1 2 1 2 NA 2 2 NA NA 2 2 NA NA NA 1 1 2 3 2 2 2 1 2 4 1 1 2 2 1 1 1 1 1 3 NA NA NA NA NA NA 2 2 2 2 1 2 1 1 1 1 1 1 NA 3 2 NA 2 2 2 2 1 1 1 3 2 2 2 1 2 2 62 3 NA 6 5 1 3 NA 3 13 NA 1 3 1 6 1 2 NA 2 1 NA NA NA 1 2 """" """" 2 ""U"" 2 17 5 0 2 4 3 2 5 3 3 1 2 2 1 1 0.08"
"""3060"" 208679 2 2 50216 1 ""C"" 2 31 """" 2 1 2 NA NA NA 1 1 1 1 3 2 1 3 NA 1 1 NA NA 2 1 NA NA NA NA 2 1 3 2 4 1 1 3 4 2 3 3 2 3 3 9 1 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 1 2 1 NA 3 3 NA 4 NA NA NA 1 1 2 3 2 2 2 2 2 1 58 1 NA 8 5 NA 1 NA 2 9 NA NA 6 NA 8 1 3 2 4 1 NA NA NA 2 1 """" """" 1 ""U"" 2 31 2 0 2 3 3 1 5 3 3 1 3 3 0 1 1.3151115195213"
"""3061"" 208683 2 2 50516 2 ""C"" 3 48 """" 10 1 2 NA NA NA 2 3 2 4 1 1 1 1 NA 2 2 NA NA 1 1 NA NA NA NA 1 1 1 1 1 3 1 1 5 3 3 2 2 9 9 9 1 9 3 NA NA NA NA NA NA 1 2 1 2 2 NA NA NA 4 1 1 3 NA 1 1 NA 1 NA NA NA 3 NA NA NA 2 2 1 1 1 1 19 6 NA 3 5 NA 2 3 4 13 NA 1 1 NA 1 3 9 2 2 7 3 NA NA 2 3 """" """" 1 ""S"" 3 48 3 4 2 9 5 4 1 1 1 3 3 3 0 1 0.514662229815623"
"""3062"" 208687 2 2 50216 2 ""P"" 4 6 """" 10 2 2 NA NA NA 1 2 1 2 3 2 2 NA 3 NA NA 9 NA 1 7 NA NA NA NA 3 3 2 2 9 9 1 3 9 3 3 2 3 NA NA NA NA NA NA 3 3 3 3 9 3 2 2 2 9 2 NA NA NA 9 2 9 NA 1 1 NA 1 4 NA NA NA 3 NA NA NA 9 2 2 2 2 1 30 1 NA 1 5 NA 1 3 3 13 NA 1 1 NA 2 3 4 9 4 5 2 NA NA 2 3 """" """" 5 ""U"" 4 6 5 3 9 9 5 4 2 2 1 2 3 3 0 1 0.447257696572343"
"""3063"" 208688 2 2 50216 1 ""C"" 3 48 """" 9 2 2 NA NA NA 2 1 1 3 1 1 1 NA 2 NA NA 1 NA 2 1 NA NA NA NA 3 2 2 2 2 2 1 4 4 1 3 1 3 NA NA NA NA NA NA 3 3 3 3 3 2 2 2 2 2 2 NA NA NA 2 4 2 NA 3 2 NA 1 2 NA NA NA 2 2 4 3 2 2 2 1 2 1 66 1 NA 8 NA NA 5 NA 3 1 NA 1 2 NA 8 1 1 NA 3 2 2 NA NA 1 1 """" """" 1 ""S"" 3 48 4 0 1 2 3 1 6 4 3 2 2 2 1 1 0.2"
"""3064"" 208693 2 2 50216 1 ""C"" 2 17 """" 9 2 2 NA NA NA 1 2 2 1 2 2 1 NA 3 NA NA 2 1 2 1 NA NA NA NA 3 1 1 1 2 2 2 NA NA 3 1 1 2 NA NA NA NA NA NA 1 3 3 1 1 3 2 2 2 2 1 NA NA NA 2 2 2 NA 1 2 NA 1 4 NA NA NA 2 3 1 2 2 2 2 1 2 1 59 3 NA 6 2 NA 1 NA 2 1 NA 2 4 NA 8 1 2 NA 3 1 NA NA NA 2 1 """" """" 1 ""S"" 2 17 5 0 2 4 3 1 5 3 3 1 3 3 0 1 0.292883567733577"
"""3065"" 208695 2 2 50216 1 ""C"" 3 48 """" 8 2 2 NA NA NA 2 2 1 1 4 3 2 NA 4 NA NA 1 NA 2 1 NA NA NA NA 2 1 3 3 4 2 2 NA NA 3 3 3 3 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 2 NA NA NA 1 1 3 NA 1 2 NA 3 4 NA NA NA 3 NA NA NA 2 2 2 2 2 1 18 6 NA 2 1 NA 2 NA 3 1 NA 1 2 NA 8 3 1 NA 3 4 4 NA NA 2 1 """" """" 1 ""S"" 3 48 3 0 1 2 5 1 1 1 1 3 3 3 0 1 1.73997000617554"
"""3066"" 208698 2 2 50216 1 ""C"" 3 5 """" 9 2 2 NA NA NA 3 1 1 1 1 2 1 NA 2 NA NA 2 2 2 2 NA NA NA 2 4 NA 1 1 2 2 1 9 4 3 3 2 2 NA NA NA NA NA NA 1 3 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 NA 1 2 NA 1 2 2 2 2 1 3 2 2 2 2 2 2 2 1 60 1 NA 8 5 1 5 NA 3 1 NA 2 2 1 8 1 2 NA 4 3 2 NA NA 1 2 """" """" 2 ""S"" 3 48 3 1 2 5 3 2 5 3 3 2 2 2 1 1 0.0906306274026612"
"""3067"" 208700 2 2 50216 1 ""C"" 3 48 """" 9 2 2 NA NA NA 2 1 1 1 2 2 3 NA 4 NA NA 1 NA 2 1 NA NA NA NA 3 1 1 1 2 2 2 NA NA 2 3 1 3 NA NA NA NA NA NA 3 3 1 3 3 3 2 2 2 2 2 NA NA NA 2 9 1 NA 2 1 NA 1 4 NA NA NA 3 NA NA NA 2 2 2 2 3 2 87 5 NA 6 NA NA 3 NA 2 2 NA 2 2 NA 1 1 3 2 3 1 NA NA NA 1 1 """" """" 1 ""U"" 3 48 5 0 2 3 2 1 6 4 3 1 2 2 1 1 0.2"
"""3068"" 208702 2 2 50216 1 ""E"" 2 26 """" 3 2 2 NA NA NA 1 1 1 2 1 1 1 NA 4 NA NA 2 2 2 1 NA NA NA NA 1 1 1 1 1 1 2 NA NA 3 2 2 9 NA NA NA NA NA NA 3 1 9 1 1 9 2 1 1 1 1 NA NA NA 1 1 1 NA 1 3 NA 1 2 NA NA NA 3 NA NA NA 2 1 1 1 2 2 51 1 NA 3 5 NA 3 NA 5 1 NA 1 3 NA 1 1 2 NA 3 4 2 NA NA 2 1 """" """" 1 ""S"" 2 26 2 2 2 4 4 1 4 3 1 2 3 3 0 1 3.69"
"""3069"" 208718 2 2 50316 1 ""E"" 1 36 """" 9 2 2 NA NA NA 2 1 2 2 1 1 1 NA 1 NA NA 2 1 2 2 NA NA NA 1 2 2 2 1 1 1 1 3 3 1 3 1 2 NA NA NA NA NA NA 1 1 1 1 1 3 1 2 2 1 1 1 1 1 2 1 1 NA 1 1 NA 1 2 4 3 2 1 1 1 1 2 1 2 2 1 2 27 2 2 3 2 NA 1 NA 3 13 NA 1 4 3 2 1 2 NA 2 3 3 NA NA 2 2 """" """" 2 ""U"" 1 36 5 0 2 4 5 2 2 1 1 3 3 3 0 1 0.740703044773488"
"""3070"" 208722 2 2 50316 1 ""E"" 3 13 """" 9 1 2 NA NA NA 3 1 4 3 2 4 2 4 NA 1 3 NA NA 2 2 NA NA NA 1 2 1 1 1 4 4 2 NA NA 3 3 3 3 3 3 3 3 1 3 NA NA NA NA NA NA 2 2 2 2 1 2 2 2 1 1 3 1 NA 1 1 NA 4 1 4 3 3 NA NA NA 2 2 2 2 2 1 55 2 1 3 5 NA 3 NA 3 1 NA 1 3 1 3 3 2 NA 2 6 4 NA NA 2 2 """" """" 2 ""U"" 3 13 4 2 2 4 3 2 5 3 1 3 3 3 0 1 0.174696007168781"
"""3071"" 208725 2 2 50316 1 ""E"" 3 24 """" 7 1 2 NA NA NA 2 2 2 2 1 2 1 1 NA 2 3 NA NA 2 9 NA NA NA NA 1 1 1 1 2 1 1 2 4 1 3 9 2 3 1 1 1 1 1 NA NA NA NA NA NA 2 1 2 2 1 NA NA NA 2 2 1 1 NA 3 3 NA 2 NA NA NA 1 3 2 2 3 2 1 2 2 2 47 6 NA 6 2 NA 1 NA 4 1 NA 1 1 NA 6 1 2 NA 5 2 2 NA NA 1 9 """" """" 9 ""U"" 3 11 5 0 2 5 4 9 4 2 3 2 2 2 1 1 0.405956998429029"
"""3072"" 208727 2 2 50316 1 ""E"" 2 26 """" 2 1 2 NA NA NA 3 2 2 3 1 2 1 3 NA 1 1 NA NA 2 1 NA NA NA NA 1 2 2 2 3 2 1 3 4 3 3 3 9 3 3 3 3 3 3 NA NA NA NA NA NA 2 1 2 2 2 NA NA NA 3 1 2 2 NA 3 2 NA 3 NA NA NA 3 NA NA NA 3 2 2 2 2 2 36 1 NA 6 4 NA 2 NA 3 4 NA 1 3 NA 9 1 3 9 3 4 2 NA NA 1 1 """" """" 1 ""S"" 2 26 4 2 9 3 4 1 3 2 3 2 2 2 1 1 2.16549328621957"
"""3073"" 208731 2 2 50516 1 ""E"" 1 36 """" 10 2 2 NA NA NA 3 4 2 4 1 2 2 NA 2 NA NA 2 1 1 7 NA NA NA NA 2 2 3 4 3 3 1 2 4 3 3 3 3 NA NA NA NA NA NA 3 3 3 3 3 3 1 1 1 2 2 NA NA NA 2 3 1 NA 3 1 NA 1 4 NA NA NA 3 NA NA NA 1 2 2 2 2 2 25 1 NA 2 5 NA 3 1 3 12 NA NA 6 NA 1 1 1 NA 5 4 2 NA NA 2 3 """" """" 5 ""U"" 1 36 5 2 1 2 5 3 2 1 1 2 3 3 0 1 0.522311528522712"
"""3074"" 208743 2 2 50316 1 ""E"" 2 26 """" 9 2 2 NA NA NA 2 1 1 2 2 2 2 NA 2 NA NA 2 2 2 1 NA NA NA NA 1 1 1 2 2 2 1 3 4 3 3 2 2 NA NA NA NA NA NA 3 3 1 1 1 3 2 2 2 2 1 NA NA NA 1 2 2 NA 3 2 NA 1 4 NA NA NA 3 NA NA NA 2 2 2 2 2 1 43 1 NA 8 5 NA 1 NA 3 12 NA NA 5 NA 8 1 3 2 3 4 2 NA NA 2 1 """" """" 1 ""S"" 2 26 4 2 2 3 4 1 3 2 3 2 3 3 0 1 0.377145630509199"
"""3075"" 208745 2 2 50416 2 ""E"" 3 12 """" 10 2 2 NA NA NA 2 2 1 2 3 4 4 NA 2 NA NA 2 1 1 7 NA NA NA NA 4 NA 1 1 4 3 2 NA NA 3 2 1 3 NA NA NA NA NA NA 9 3 9 9 9 9 2 1 2 2 1 NA NA NA 9 2 1 NA 1 2 NA 1 4 NA NA NA 3 NA NA NA 9 2 2 2 2 1 71 1 NA 1 NA NA 5 3 4 13 NA 2 1 NA 2 3 4 9 9 2 2 NA NA 2 3 """" """" 5 ""S"" 3 12 4 0 9 9 2 4 6 4 1 2 3 3 0 1 0.658400807962419"
"""3076"" 208746 2 2 50516 1 ""E"" 1 36 """" 9 2 2 NA NA NA 2 4 1 3 1 2 2 NA 1 NA NA 2 2 2 9 NA NA NA NA 1 1 9 2 1 1 2 NA NA 1 2 1 2 NA NA NA NA NA NA 1 1 1 1 1 1 2 2 2 2 2 NA NA NA 2 4 1 NA 1 3 NA 1 2 NA NA NA 1 2 5 9 1 2 2 2 1 1 29 6 NA 5 4 NA 1 NA 9 99 1 2 1 NA 99 3 4 9 9 2 1 NA NA 1 9 """" """" 9 ""U"" 1 36 5 1 9 9 5 9 2 1 2 1 2 2 1 1 0.236708965066871"
"""3077"" 208750 2 2 50316 1 ""E"" 1 36 """" 10 1 2 NA NA NA 2 1 1 1 1 1 1 2 NA 1 1 NA NA 2 1 NA NA NA NA 1 1 1 2 4 2 2 NA NA 3 3 3 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 3 3 2 NA 1 3 NA 4 NA NA NA 1 2 4 4 2 2 2 2 2 1 65 5 NA 6 NA NA 5 NA 3 2 NA 2 3 NA 8 1 1 NA 1 1 NA NA NA 2 1 """" """" 1 ""S"" 3 48 2 0 1 1 3 1 6 4 3 1 3 3 0 1 0.207956062106689"
"""3078"" 208766 2 2 50416 1 ""E"" 1 36 """" 5 1 2 NA NA NA 1 9 1 9 2 3 3 3 NA 1 3 NA NA 9 9 NA NA NA NA 1 1 2 2 1 1 1 4 4 3 3 3 9 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 2 9 9 9 NA 9 9 NA 4 NA NA NA 1 3 1 2 9 2 2 2 2 1 99 9 NA 9 NA NA 1 NA 9 99 9 NA 9 NA 99 1 3 9 9 9 9 NA NA 2 9 """" """" 9 ""S"" 1 36 4 99 9 3 9 9 9 NA 9 2 3 3 0 1 0.85177233512678"
"""3079"" 208772 2 2 50316 1 ""C"" 3 48 """" 9 1 2 NA NA NA 2 2 1 3 2 1 1 1 NA 2 2 NA NA 2 2 NA NA NA 1 1 2 3 1 2 2 1 2 4 9 3 2 9 3 3 9 1 3 9 NA NA NA NA NA NA 2 2 1 2 1 2 2 2 1 4 9 9 NA 9 9 NA 3 2 5 5 1 4 2 2 2 2 2 2 2 2 28 6 NA 6 5 2 1 NA 3 6 NA NA 6 NA 7 3 2 NA 4 3 1 NA NA 2 2 """" """" 2 ""U"" 3 48 5 2 2 5 5 2 2 1 3 1 3 3 0 1 0.264732485939356"
"""3080"" 208775 2 2 50316 1 ""E"" 3 37 """" 9 1 2 NA NA NA 1 1 1 1 1 3 2 2 NA 9 9 NA NA 2 9 NA NA NA NA 1 2 9 9 9 4 2 NA NA 2 2 1 3 2 3 2 9 9 2 NA NA NA NA NA NA 2 2 1 2 1 NA NA NA 1 2 3 3 NA 3 3 NA 4 NA NA NA 3 NA NA NA 1 2 9 2 2 1 67 3 NA 1 NA NA 1 NA 5 11 2 NA 9 NA 99 3 5 9 5 4 4 NA NA 2 9 """" ""JESUS CHRIST"" 9 ""U"" 3 37 4 0 9 9 3 9 6 4 1 3 3 3 0 1 0.285357172888692"
"""3081"" 208777 2 2 50316 1 ""C"" 3 28 """" 10 1 2 NA NA NA 1 1 1 2 1 1 1 1 NA 2 2 NA NA 2 1 NA NA NA NA 3 1 1 2 3 1 1 3 4 3 3 1 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 4 3 3 NA 1 1 NA 4 NA NA NA 1 2 4 4 2 2 2 2 2 2 41 1 NA 6 5 NA 1 NA 2 1 NA 1 3 NA 9 1 3 1 2 6 3 NA NA 1 1 """" """" 1 ""S"" 3 28 2 3 1 3 4 1 3 2 3 3 2 2 1 1 0.346172185220621"
"""3082"" 208779 2 2 50316 1 ""C"" 3 48 """" 9 1 2 NA NA NA 2 2 2 2 2 2 2 2 NA 1 3 NA NA 2 1 NA NA NA NA 2 1 1 3 2 1 1 3 4 3 3 3 2 3 3 3 1 3 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 1 9 2 1 NA 2 1 NA 2 NA NA NA 2 3 9 2 2 2 2 2 2 1 25 6 NA 6 5 NA 1 NA 3 5 NA NA 4 NA 99 2 3 2 3 3 3 NA NA 1 1 """" """" 1 ""S"" 3 48 4 0 2 3 5 1 2 1 3 3 2 2 1 1 0.284290146895003"
"""3083"" 208800 2 2 50316 1 ""E"" 3 24 """" 10 2 2 NA NA NA 1 2 2 2 1 1 1 NA 1 NA NA 2 1 2 9 NA NA NA NA 1 1 3 1 3 2 1 2 2 1 2 2 3 NA NA NA NA NA NA 1 1 1 1 1 3 2 2 2 2 1 NA NA NA 2 1 1 NA 1 3 NA 1 1 NA NA NA 2 4 9 3 1 2 1 1 1 2 99 9 NA 9 NA NA 1 NA 9 99 1 9 2 NA 99 1 9 9 9 9 9 NA NA 9 9 """" """" 9 ""U"" 3 24 5 99 9 9 9 9 9 NA 9 2 3 3 0 1 0.213437239118695"
"""3084"" 208801 2 2 50316 1 ""E"" 1 25 """" 3 2 2 NA NA NA 1 2 2 2 2 3 1 NA 4 NA NA 1 NA 2 1 NA NA NA NA 2 1 3 4 4 4 2 NA NA 3 3 3 9 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 2 2 2 NA NA NA 2 2 3 NA 2 3 NA 1 3 NA NA NA 1 4 4 4 2 2 2 2 3 1 71 1 NA 6 NA NA 2 NA 3 1 NA 1 2 NA 3 1 1 NA 1 2 2 NA NA 2 1 """" """" 1 ""S"" 2 55 3 0 1 1 2 1 6 4 3 2 3 3 0 1 1.93095804928297"
"""3085"" 208804 2 2 50316 1 ""C"" 2 17 """" 9 1 2 NA NA NA 2 1 1 2 2 2 2 4 NA 9 2 NA NA 2 1 NA NA NA NA 2 2 2 4 4 2 1 3 4 3 3 1 9 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 2 4 3 1 NA 1 1 NA 4 NA NA NA 1 1 4 4 2 2 2 2 2 1 38 1 NA 6 5 NA 1 NA 3 13 NA 2 3 NA 9 1 3 1 2 4 2 NA NA 2 1 """" """" 1 ""S"" 2 17 4 2 1 3 4 1 3 2 3 2 3 3 0 1 0.350780781068433"
"""3086"" 208806 2 2 50316 1 ""E"" 3 11 """" 10 2 2 NA NA NA 1 1 1 2 1 3 1 NA 2 NA NA 2 1 2 1 NA NA NA NA 1 1 2 1 3 1 1 3 4 3 2 2 2 NA NA NA NA NA NA 1 1 3 1 3 3 2 2 2 2 2 NA NA NA 2 2 1 NA 2 2 NA 2 4 NA NA NA 2 2 1 2 2 2 2 2 2 1 51 1 NA 3 5 NA 1 NA 3 12 NA NA 5 NA 9 1 2 NA 4 2 2 NA NA 1 1 """" """" 1 ""U"" 3 11 5 0 2 5 4 1 4 3 1 2 2 2 1 1 0.266109795717619"
"""3087"" 208812 2 2 50716 2 ""E"" 2 18 """" 7 2 2 NA NA NA 3 4 4 3 1 1 2 NA 1 NA NA 2 9 1 7 NA NA NA NA 3 3 1 4 1 1 1 1 4 3 2 2 3 NA NA NA NA NA NA 1 3 1 1 1 9 1 2 1 2 1 NA NA NA 2 4 1 NA 1 1 NA 1 2 NA NA NA 3 NA NA NA 2 1 2 1 1 2 49 1 NA 1 5 NA 1 3 5 2 NA 2 4 NA 1 3 3 9 1 3 3 NA NA 2 3 """" """" 5 ""U"" 2 18 5 0 9 3 4 4 4 2 1 3 3 3 0 1 1.1840172570596"
"""3088"" 208822 2 2 50816 1 ""C"" 3 47 """" 9 1 2 NA NA NA 2 1 1 2 3 3 4 3 NA 1 3 NA NA 1 1 NA NA NA NA 2 1 1 3 3 1 1 3 3 3 1 9 3 3 1 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 9 3 3 NA 1 3 NA 4 NA NA NA 2 3 2 2 9 2 2 2 2 2 24 1 NA 5 5 NA 3 3 3 2 NA 9 6 NA 2 1 9 9 3 4 2 NA NA 2 3 """" """" 1 ""U"" 3 47 4 2 9 9 5 4 1 1 2 2 3 3 0 1 0.740325722082759"
"""3089"" 208830 2 2 50516 1 ""C"" 3 48 """" 9 2 2 NA NA NA 1 2 1 2 1 2 1 NA 3 NA NA 3 NA 2 1 NA NA NA NA 1 1 1 4 4 4 2 NA NA 1 3 1 9 NA NA NA NA NA NA 3 3 9 1 9 3 1 1 2 2 1 NA NA NA 2 4 3 NA 3 3 NA 1 2 NA NA NA 1 1 4 4 2 1 1 2 2 1 53 1 NA 6 5 NA 1 NA 3 1 NA 1 3 NA 6 1 1 NA 1 2 2 NA NA 1 1 """" """" 1 ""U"" 3 48 1 0 1 1 3 1 4 3 3 2 2 2 1 1 0.2"
"""3090"" 208834 2 2 50316 1 ""M"" 3 48 """" 10 1 2 NA NA NA 2 1 2 2 2 2 1 3 NA 2 3 NA NA 2 1 NA NA NA NA 4 NA 2 3 3 2 2 NA NA 3 3 2 3 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 4 3 2 NA 1 3 NA 4 NA NA NA 2 4 4 4 2 2 2 2 2 2 87 1 NA 3 NA NA 3 NA 3 12 NA NA 6 NA 6 1 1 NA 3 2 2 NA NA 1 1 """" """" 1 ""S"" 3 48 3 0 1 2 2 1 6 4 1 2 2 2 1 1 0.564614210037576"
"""3091"" 208840 2 2 50316 1 ""E"" 3 12 """" 5 1 2 NA NA NA 1 1 1 1 2 2 1 2 NA 1 1 NA NA 2 1 NA NA NA NA 3 1 2 1 2 2 2 NA NA 2 1 3 2 1 3 3 1 1 1 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 1 2 1 NA 2 1 NA 4 NA NA NA 2 2 2 3 2 2 2 2 2 2 73 1 NA 8 NA NA 3 NA 3 2 NA 2 4 NA 9 1 3 2 3 2 2 NA NA 1 1 """" """" 1 ""S"" 3 12 2 0 2 3 2 1 6 4 3 2 2 2 1 1 1.05443961524141"
"""3092"" 208865 2 2 50316 1 ""C"" 3 28 """" 7 2 2 NA NA NA 2 2 1 2 1 1 2 NA 3 NA NA 1 NA 2 1 2 NA NA NA 1 1 4 2 4 2 1 4 4 3 2 1 3 NA NA NA NA NA NA 3 3 3 1 3 1 2 2 2 2 1 NA NA NA 2 4 2 NA 1 1 NA 1 4 NA NA NA 3 NA NA NA 2 2 2 2 2 1 54 1 NA 3 5 NA 1 NA 5 1 NA 1 4 NA 7 1 1 NA 2 2 2 NA NA 2 4 """" """" 4 ""R"" 3 28 1 0 1 1 3 5 4 3 1 2 3 3 0 1 1.12010985446832"
"""3093"" 208875 2 2 50316 1 ""P"" 4 53 """" 9 2 2 NA NA NA 3 2 1 4 4 1 4 NA 4 NA NA 2 1 2 5 NA NA NA NA 3 1 2 2 4 1 1 3 4 3 3 1 3 NA NA NA NA NA NA 3 3 3 3 3 3 2 2 1 2 2 NA NA NA 2 1 2 NA 2 2 NA 3 2 NA NA NA 2 2 3 2 2 2 1 3 2 1 99 3 NA 4 NA NA 3 NA 4 9 NA NA 6 NA 2 3 4 9 9 1 NA NA NA 2 4 """" """" 5 ""U"" 4 53 1 0 9 9 9 5 9 NA 2 1 3 3 0 1 0.417735225154984"
